Number of Stocks (q),Optimization Correlation,Clustering Correlation,Optimization Tracking Error,Clustering Tracking Error
5,0.0,0.8015584686369941,0.15486066461823453,0.10565627773810754
10,0.9515083474468868,0.8140087293833951,0.2645588645588161,0.09142346770726158
15,0.9527731071786713,0.8816166178779734,0.26333606241856167,0.073391796007596
20,0.9540339962535193,0.8522210426346064,0.26215461266764295,0.08146877532573248
25,0.9553375812329663,0.8845743124911443,0.2608934535655057,0.07269381920168284
30,0.956493223578823,0.9102247495431723,0.25958535164302754,0.06498624719233628
